District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Montgomery,Bayard Rustin Elementary,English Language Arts 5,52.9,54.1,53.8,1.2,-0.3
Montgomery,Bayard Rustin Elementary,Mathematics 3,51.8,53.2,55.8,1.4,2.6
Montgomery,Bayard Rustin Elementary,English Language Arts 4,55.4,57.7,56.5,2.3,-1.2
Montgomery,Bayard Rustin Elementary,English Language Arts 3,54.1,57,63.5,2.9,6.5
Queen Anne's,Bayside Elementary School,Mathematics 5,44.4,35,45.1,-9.4,10.1
Queen Anne's,Bayside Elementary School,Mathematics 4,52.5,52.8,56.6,0.3,3.8
Queen Anne's,Bayside Elementary School,English Language Arts 5,52.2,58.7,58.6,6.5,-0.1
Queen Anne's,Bayside Elementary School,English Language Arts 3,66.3,70,59.6,3.7,-10.4
Queen Anne's,Bayside Elementary School,Mathematics 3,66.3,63.6,60,-2.7,-3.6
Queen Anne's,Bayside Elementary School,English Language Arts 4,68.6,75.5,75.8,6.9,0.3
Baltimore County,BCDC Educational Center,Algebra 1,5,*,5,,
Baltimore County,BCDC Educational Center,English Language Arts 10,10.5,5,5,,
Calvert,Beach Elementary,Mathematics 5,37.5,38.6,48.9,1.1,10.3
Calvert,Beach Elementary,Mathematics 4,51.8,62.7,52.4,10.9,-10.3
Calvert,Beach Elementary,Mathematics 3,60.8,66.7,58.2,5.9,-8.5
Calvert,Beach Elementary,English Language Arts 4,49.4,72.6,65.9,23.2,-6.7
Calvert,Beach Elementary,English Language Arts 5,48.9,54.2,66.7,5.3,12.5
Calvert,Beach Elementary,English Language Arts 3,78.5,67.9,67.2,-10.6,-0.7
Prince George's,Beacon Heights Elementary,Mathematics 5,8.7,9.2,5.1,0.5,-4.1
Prince George's,Beacon Heights Elementary,Mathematics 6,5,8.2,9.5,,1.3
Prince George's,Beacon Heights Elementary,Mathematics 3,23.2,21.3,12.3,-1.9,-9
Prince George's,Beacon Heights Elementary,Mathematics 4,7.6,18.9,18.5,11.3,-0.4
Prince George's,Beacon Heights Elementary,English Language Arts 3,50.9,39.3,30.2,-11.6,-9.1
Prince George's,Beacon Heights Elementary,English Language Arts 6,33.9,27.1,49.2,-6.8,22.1
Prince George's,Beacon Heights Elementary,English Language Arts 5,20.5,35.5,54.4,15,18.9
Prince George's,Beacon Heights Elementary,English Language Arts 4,37.9,68,56.5,30.1,-11.5
Montgomery,Beall Elementary,Mathematics 5,44.9,43.2,42.7,-1.7,-0.5
Allegany,Beall Elementary,English Language Arts 3,57.1,46.3,47.5,-10.8,1.2
Allegany,Beall Elementary,Mathematics 3,50,46.3,49.2,-3.7,2.9
Allegany,Beall Elementary,Mathematics 5,39.7,36.1,50,-3.6,13.9
Montgomery,Beall Elementary,Mathematics 4,44.8,44.6,50.6,-0.2,6
Allegany,Beall Elementary,Mathematics 4,37.5,50,53.7,12.5,3.7
Montgomery,Beall Elementary,English Language Arts 5,76,71.6,54.9,-4.4,-16.7
Allegany,Beall Elementary,English Language Arts 5,64.7,37.5,55.6,-27.2,18.1
Montgomery,Beall Elementary,Mathematics 3,57.8,68.7,61.8,10.9,-6.9
Allegany,Beall Elementary,English Language Arts 4,54.2,68.5,67.2,14.3,-1.3
Montgomery,Beall Elementary,English Language Arts 4,72.7,66.3,67.9,-6.4,1.6
Montgomery,Beall Elementary,English Language Arts 3,75.3,71.6,76,-3.7,4.4
Baltimore County,Bear Creek Elementary,Mathematics 5,5.6,11.9,9.4,6.3,-2.5
Baltimore County,Bear Creek Elementary,Mathematics 4,12.9,13.4,10.7,0.5,-2.7
Baltimore County,Bear Creek Elementary,Mathematics 3,18.2,24.2,18.6,6,-5.6
Baltimore County,Bear Creek Elementary,English Language Arts 4,33.9,26.9,28.6,-7,1.7
Baltimore County,Bear Creek Elementary,English Language Arts 5,22.9,25.4,29.7,2.5,4.3
Baltimore County,Bear Creek Elementary,English Language Arts 3,30.7,21,35.6,-9.7,14.6
Baltimore County,Bedford Elementary,Mathematics 5,25.4,34.4,14.5,9,-19.9
Baltimore County,Bedford Elementary,English Language Arts 5,41.9,37.7,24.3,-4.2,-13.4
Baltimore County,Bedford Elementary,Mathematics 4,44.4,34.4,27.5,-10,-6.9
Baltimore County,Bedford Elementary,Mathematics 3,29.6,33.3,32.7,3.7,-0.6
Baltimore County,Bedford Elementary,English Language Arts 3,47.2,40.3,41.7,-6.9,1.4
Baltimore County,Bedford Elementary,English Language Arts 4,53.7,46.9,45,-6.8,-1.9
Baltimore City,Beechfield Elementary/Middle,Mathematics 3,5,5.5,5.4,,-0.1
Baltimore City,Beechfield Elementary/Middle,English Language Arts 8,5,8.2,8.7,,0.5
Baltimore City,Beechfield Elementary/Middle,English Language Arts 5,5,8.3,8.8,,0.5
Baltimore City,Beechfield Elementary/Middle,English Language Arts 3,7.7,7.3,8.9,-0.4,1.6
Baltimore City,Beechfield Elementary/Middle,English Language Arts 7,8.5,9.5,20.3,1,10.8
Baltimore City,Beechfield Elementary/Middle,English Language Arts 6,5,7.5,22.2,,14.7
Baltimore City,Beechfield Elementary/Middle,Mathematics 5,5,6.3,5,,
Baltimore City,Beechfield Elementary/Middle,English Language Arts 4,8.3,5,5,,
Baltimore City,Beechfield Elementary/Middle,Mathematics 4,5,5,5,,
Baltimore City,Beechfield Elementary/Middle,Mathematics 6,5,5,5,,
Baltimore City,Beechfield Elementary/Middle,Mathematics 7,5,5,5,,
Baltimore City,Beechfield Elementary/Middle,Mathematics 8,5,5,5,,
Baltimore City,Beechfield Elementary/Middle,Algebra 1,*,,,,
Allegany,Bel Air Elementary,Mathematics 5,32.3,34.6,22.9,2.3,-11.7
Allegany,Bel Air Elementary,Mathematics 4,44.4,50,31.3,5.6,-18.7
Harford,Bel Air Elementary,Mathematics 4,47,59.5,52.9,12.5,-6.6
Allegany,Bel Air Elementary,English Language Arts 3,54.1,55.2,59,1.1,3.8
Allegany,Bel Air Elementary,Mathematics 3,45.9,51.7,60.5,5.8,8.8
Allegany,Bel Air Elementary,English Language Arts 5,66.7,50,62.9,-16.7,12.9
Allegany,Bel Air Elementary,English Language Arts 4,51.9,61.1,63.3,9.2,2.2
Harford,Bel Air Elementary,Mathematics 5,57.9,66.7,67.5,8.8,0.8
Harford,Bel Air Elementary,English Language Arts 5,64.5,67.1,69.5,2.6,2.4
Harford,Bel Air Elementary,Mathematics 3,67.9,71.6,76.1,3.7,4.5
Harford,Bel Air Elementary,English Language Arts 4,76.5,75.9,77.1,-0.6,1.2
Harford,Bel Air Elementary,English Language Arts 3,72.6,78,81.3,5.4,3.3
Harford,Bel Air Elementary,Algebra 1,*,,,,
Harford,Bel Air High,Algebra 1,6.6,5,9.4,,
Harford,Bel Air High,Algebra 2,10.7,11.7,30.8,1,19.1
Harford,Bel Air High,English Language Arts 10,64.7,68.7,68.7,4,0
Harford,Bel Air High,Geometry,5,5,5,,
Harford,Bel Air Middle,Mathematics 7,9.2,15,13.1,5.8,-1.9
Harford,Bel Air Middle,Mathematics 8,8.6,10.2,14.7,1.6,4.5
Harford,Bel Air Middle,Mathematics 6,32.2,32.4,27.5,0.2,-4.9
Harford,Bel Air Middle,Geometry,35.7,41.1,41.6,5.4,0.5
Harford,Bel Air Middle,Algebra 1,37.9,45.2,42.7,7.3,-2.5
Harford,Bel Air Middle,English Language Arts 8,63.5,68.8,69.5,5.3,0.7
Harford,Bel Air Middle,English Language Arts 7,64.1,69.3,70.4,5.2,1.1
Harford,Bel Air Middle,English Language Arts 6,62.4,65,71.7,2.6,6.7
Harford,Bel Air Middle,Algebra 2,,,*,,
Anne Arundel,Belle Grove Elementary,Mathematics 4,5,8.1,9.7,,1.6
Anne Arundel,Belle Grove Elementary,Mathematics 5,5,5,15.8,,
Anne Arundel,Belle Grove Elementary,Mathematics 3,8.1,15.4,16.7,7.3,1.3
Anne Arundel,Belle Grove Elementary,English Language Arts 3,18.9,26.6,22.9,7.7,-3.7
Anne Arundel,Belle Grove Elementary,English Language Arts 4,26.1,16.2,30.6,-9.9,14.4
Anne Arundel,Belle Grove Elementary,English Language Arts 5,10.3,16,35.1,5.7,19.1
Howard,Bellows Spring Elementary,Mathematics 5,34.1,35.4,45,1.3,9.6
Howard,Bellows Spring Elementary,English Language Arts 5,65.9,51.6,57.8,-14.3,6.2
Howard,Bellows Spring Elementary,Mathematics 3,56.1,50,58.3,-6.1,8.3
Howard,Bellows Spring Elementary,English Language Arts 3,54.2,58.2,58.7,4,0.5
Howard,Bellows Spring Elementary,Mathematics 4,45,52.7,66.4,7.7,13.7
Howard,Bellows Spring Elementary,English Language Arts 4,83.7,81.1,73.1,-2.6,-8
Montgomery,Bells Mill Elementary,Mathematics 4,75.8,72.5,63.4,-3.3,-9.1
Montgomery,Bells Mill Elementary,Mathematics 5,61.8,76.9,67.6,15.1,-9.3
Montgomery,Bells Mill Elementary,English Language Arts 4,84.8,82.4,75.2,-2.4,-7.2
Montgomery,Bells Mill Elementary,Mathematics 3,77.6,78.1,81.8,0.5,3.7
Montgomery,Bells Mill Elementary,English Language Arts 5,71.3,89.4,81.9,18.1,-7.5
Montgomery,Bells Mill Elementary,English Language Arts 3,93.3,82.7,87.5,-10.6,4.8
Montgomery,Bells Mill Elementary,Algebra 1,,,*,,
Baltimore City,Belmont Elementary,Mathematics 4,5,5,6.5,,
Baltimore City,Belmont Elementary,English Language Arts 3,5,5,7.7,,
Baltimore City,Belmont Elementary,English Language Arts 4,5,5,9.7,,
Baltimore City,Belmont Elementary,Mathematics 3,5,5,19.2,,
Montgomery,Belmont Elementary,Mathematics 4,45.5,71,64.2,25.5,-6.8
Montgomery,Belmont Elementary,English Language Arts 3,87.8,83.3,64.5,-4.5,-18.8
Montgomery,Belmont Elementary,Mathematics 5,44.8,52.2,64.8,7.4,12.6
Montgomery,Belmont Elementary,Mathematics 3,83.8,85.2,66.1,1.4,-19.1
Montgomery,Belmont Elementary,English Language Arts 4,72.7,85.3,80.8,12.6,-4.5
Montgomery,Belmont Elementary,English Language Arts 5,65.5,67.4,83.1,1.9,15.7
Baltimore City,Belmont Elementary,English Language Arts 5,5.4,7.1,5,1.7,
Baltimore City,Belmont Elementary,Mathematics 5,5,5,5,,
Prince George's,Beltsville Academy,Mathematics 5,5,10.8,6,,-4.8
Prince George's,Beltsville Academy,Mathematics 7,8.6,11.5,6.4,2.9,-5.1
Prince George's,Beltsville Academy,Mathematics 6,9.8,5.6,8.3,-4.2,2.7
Prince George's,Beltsville Academy,Mathematics 4,8.3,9.1,8.9,0.8,-0.2
Prince George's,Beltsville Academy,Mathematics 3,21.4,14,17.2,-7.4,3.2
Prince George's,Beltsville Academy,Mathematics 8,6.1,6.1,17.3,0,11.2
Prince George's,Beltsville Academy,English Language Arts 3,36.4,21.8,28.4,-14.6,6.6
Prince George's,Beltsville Academy,English Language Arts 5,22.1,40.9,28.9,18.8,-12
Prince George's,Beltsville Academy,English Language Arts 4,29.2,25.2,32.8,-4,7.6
Prince George's,Beltsville Academy,English Language Arts 6,36.9,38.7,42.3,1.8,3.6
Prince George's,Beltsville Academy,English Language Arts 7,58.7,58.6,50.8,-0.1,-7.8
Prince George's,Beltsville Academy,English Language Arts 8,42.1,47.2,59.6,5.1,12.4
Prince George's,Beltsville Academy,Algebra 1,55.6,88.2,95,32.6,
Anne Arundel,Belvedere Elementary,Mathematics 4,37.2,49.4,36.8,12.2,-12.6
Anne Arundel,Belvedere Elementary,Mathematics 5,45.8,31.6,40.8,-14.2,9.2
Anne Arundel,Belvedere Elementary,Mathematics 3,39.4,49.4,59.8,10,10.4
Anne Arundel,Belvedere Elementary,English Language Arts 5,70.8,59.5,64.5,-11.3,5
Anne Arundel,Belvedere Elementary,English Language Arts 3,64.8,61.2,71.7,-3.6,10.5
Anne Arundel,Belvedere Elementary,English Language Arts 4,61.5,68.8,73.3,7.3,4.5
Anne Arundel,Benfield Elementary,Mathematics 4,72.5,78.8,73.8,6.3,-5
Anne Arundel,Benfield Elementary,Mathematics 5,64.7,74.6,77.8,9.9,3.2
Anne Arundel,Benfield Elementary,Mathematics 3,78.3,76.6,79.4,-1.7,2.8
Anne Arundel,Benfield Elementary,English Language Arts 3,91.3,84.4,85.3,-6.9,0.9
Anne Arundel,Benfield Elementary,English Language Arts 4,94.2,95,88.5,,
Anne Arundel,Benfield Elementary,English Language Arts 5,95,95,93.7,,
Saint Mary's,Benjamin Banneker Elementary,Mathematics 4,27.2,33.8,29.6,6.6,-4.2
Saint Mary's,Benjamin Banneker Elementary,Mathematics 5,42.4,25.8,30.6,-16.6,4.8
Saint Mary's,Benjamin Banneker Elementary,Mathematics 3,35.3,44.2,32.9,8.9,-11.3
Saint Mary's,Benjamin Banneker Elementary,English Language Arts 5,36.4,46.2,51.6,9.8,5.4
Saint Mary's,Benjamin Banneker Elementary,English Language Arts 3,39.7,50.6,52.9,10.9,2.3
Saint Mary's,Benjamin Banneker Elementary,English Language Arts 4,44.6,54.7,53.1,10.1,-1.6
Montgomery,Benjamin Banneker Middle,Mathematics 6,11.5,9.6,9.3,-1.9,-0.3
Montgomery,Benjamin Banneker Middle,Geometry,9.2,8.1,11.1,-1.1,3
Montgomery,Benjamin Banneker Middle,Algebra 1,8.2,9.6,13.9,1.4,4.3
Montgomery,Benjamin Banneker Middle,English Language Arts 8,28.4,39.5,26.7,11.1,-12.8
Montgomery,Benjamin Banneker Middle,English Language Arts 7,36.8,31.3,28.6,-5.5,-2.7
Montgomery,Benjamin Banneker Middle,English Language Arts 6,40.2,25.5,32.6,-14.7,7.1
Montgomery,Benjamin Banneker Middle,Mathematics 7,5,5,5,,
Montgomery,Benjamin Banneker Middle,Mathematics 8,5,5,5,,
Prince George's,Benjamin D. Foulois Academy,Mathematics 5,30,33.3,14,3.3,-19.3
Prince George's,Benjamin D. Foulois Academy,Mathematics 4,28.3,11.5,15.7,-16.8,4.2
Prince George's,Benjamin D. Foulois Academy,Mathematics 7,6.3,21.3,24.3,15,3
